doc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
all/2005-2010__psychology__13.txt,0.006996123120188713,0.006996138021349907,0.006996123120188713,0.006996124517172575,0.006996139418333769,0.06965526938438417,0.006996153853833675,0.006996206939220429,0.00699612358585,0.006996123120188713,0.12348299473524095,0.7019196152687073,0.00699612358585,0.0069961417466402045,0.006996139883995056,0.006996129173785448,0.0069961855188012114,0.006996123120188713
all/2011-2017__psychology__26.txt,0.008056741207838058,0.008056741207838058,0.008056741207838058,0.008056741207838058,0.008056742139160633,0.008056745864450932,0.008056743070483208,0.008056741207838058,0.008056742139160633,0.008056741207838058,0.00805674400180578,0.008056742139160633,0.008056742139160633,0.008056742139160633,0.008056742139160633,0.008056741207838058,0.8630353808403015,0.008056741207838058
all/2011-2017__medicine__117.txt,0.0077807437628507605,0.007780745159834623,0.007780745159834623,0.0077807470224797734,0.00778076471760869,0.16835972666740415,0.007780746556818484,0.007780753541737796,0.007780760060995817,0.007780746556818484,0.2809785008430481,0.0077807437628507605,0.007780743297189473,0.007780754007399081,0.02642229199409485,0.007780746091157199,0.2679758667945862,0.15511387586593628
all/2011-2017__medicine__103.txt,0.006930866278707981,0.006930867210030557,0.0069308667443692675,0.006930866278707981,0.4341703653335571,0.4151628017425537,0.006930879317224026,0.006930867210030557,0.006930866278707981,0.0069308667443692675,0.046703651547431946,0.006930872332304715,0.0069308681413531295,0.006930869072675705,0.006930867210030557,0.006930869072675705,0.006931018549948932,0.0069308667443692675
all/2011-2017__social sciences__11.txt,0.0068784505128860465,0.0068784509785473355,0.0068784505128860465,0.0068784505128860465,0.0068784509785473355,0.006878451909869909,0.006878452841192485,0.0068784505128860465,0.0068784509785473355,0.0068784505128860465,0.8830663561820984,0.006878451444208622,0.0068784509785473355,0.0068784509785473355,0.0068784509785473355,0.0068784509785473355,0.006878453772515058,0.0068784509785473355
all/2005-2010__social sciences__14.txt,0.006694316864013672,0.006694342475384474,0.0066943163983523854,0.006694316864013672,0.006694329902529717,0.12910449504852295,0.006694316864013672,0.0066943163983523854,0.0066943163983523854,0.006694316864013672,0.4195632636547089,0.006694316864013672,0.3509173691272736,0.006694317329674959,0.00669432757422328,0.0066943163983523854,0.006694318260997535,0.006694316864013672
all/2011-2017__social sciences__39.txt,0.006239712703973055,0.413925975561142,0.006239712238311768,0.006239712238311768,0.006239712703973055,0.006239722482860088,0.006239712703973055,0.06316016614437102,0.0062397136352956295,0.006239712703973055,0.2700484395027161,0.006239713169634342,0.006239712238311768,0.00623971875756979,0.006239716429263353,0.006239712238311768,0.1655094027519226,0.006239711772650479
all/1998-2004__medicine__33.txt,0.009209034033119678,0.009209035895764828,0.009209034033119678,0.009209034964442251,0.009209034964442251,0.3118300437927246,0.009209034964442251,0.009209041483700277,0.009209034964442251,0.009209034964442251,0.08815362304449081,0.009209039621055126,0.009209034964442251,0.009209035895764828,0.009209034033119678,0.009209036827087402,0.461880773305893,0.009209039621055126
all/2005-2010__medicine__8.txt,0.0071905096992850295,0.007190505973994731,0.007190505973994731,0.0071905069053173065,0.0071905069053173065,0.007190507836639881,0.007190507836639881,0.007190507370978594,0.007190506439656018,0.007190508767962457,0.15947256982326508,0.007190506439656018,0.007190506439656018,0.007190506439656018,0.007190507370978594,0.007190505973994731,0.7254793643951416,0.007190505973994731
all/2005-2010__nursing__2.txt,0.0072480891831219205,0.007248090114444493,0.0072480891831219205,0.464326560497284,0.0072480919770896435,0.0072480933740735045,0.007248089648783206,0.17231501638889313,0.007248089648783206,0.007248089648783206,0.25463709235191345,0.007248092442750932,0.007248089648783206,0.0072480905801057816,0.007248089648783206,0.0072480891831219205,0.007248091045767069,0.007248089648783206
